country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1979,1,interm,4,0,1044958,25996.86,4599.64,3185.33,3770.06,15570.7,21086.34,18359.86,16035.9,16323.62,20769.87,32386.51,53862.78,78844.59,103507.45,129103.19,140141.42,132245.71,110131.57,119036.63,75233.98,43802.65,33774.8,10027.86,8723.46,1304.39
USA,1979,1,interm,4,1,171.21,24.02,11.31,0.5,1.01,1.01,1.65,0.77,0.88,3.5,1.72,6.1,6.13,4.21,15.72,14.69,16.99,17.52,20.02,23.46,13.02,10.44,7.74,2.7,1.7,1
USA,1979,1,interm,4,2,371.73,63.12,24.07,2.96,1.78,0.2,2.28,1.22,5.51,6.6,6.29,9.01,10.9,17.79,23.18,27.07,33.84,45.55,41.83,48.54,28.54,20,14.75,5.25,5.23,0.03
USA,1979,1,interm,4,3,1538.68,0.95,4.11,0,1.82,0.61,6.01,12.58,26.76,38.71,56.54,84.45,108.95,153.75,152.89,208.52,203.85,200.88,136.05,141.24,90.23,51,46.6,4.41,4.35,0.06
USA,1979,1,interm,4,4,5601.86,182.43,50.45,15.77,13.96,30.15,37.49,41.76,58.18,60.39,87.43,157.25,264.41,352.81,495.73,682.66,771.68,808.66,680.77,809.87,506.45,303.41,224.42,78.99,66.23,12.76
USA,1979,1,interm,4,5,622.51,67.44,74.93,11.45,6.06,20.28,18.14,8.63,9.78,10.43,13.85,24.2,25.96,48.05,43.63,50.32,49.75,54.12,41.02,44.5,27.9,16.6,13.69,2.91,2.64,0.27
USA,1979,1,interm,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1979,1,interm,4,7,413.89,9.21,4.6,2.02,1.77,7.11,26.32,29.6,21.58,16.08,20.04,29.92,28.01,43.01,44.05,46.52,26.11,22.94,23.18,11.82,9.42,2.4,2.29,0.1,0.08,0.02
USA,1979,1,interm,4,8,592.58,69.46,42.71,23.82,22.08,27.19,17.93,25.64,11.5,16.75,12.02,18.52,32.18,34.56,42.93,46.24,47.39,37.59,33.24,30.82,17.81,13.01,11.43,1.57,1.45,0.12
USA,1979,1,interm,4,9,712.85,29.25,5.7,2.23,8.79,10.95,8.16,17.52,23.38,20.97,25.65,37.27,49.1,68.41,80.13,76.71,87.12,70.98,54.01,36.53,24.74,11.8,9.13,2.67,2.48,0.19
USA,1979,1,interm,4,10,5633.22,0.01,2.07,2.02,2.18,7.37,12.41,20.28,22.44,69.11,130.76,295.27,613.78,797.98,920.07,913.34,772.11,497.8,303.95,250.27,161.57,88.7,70.77,17.93,15.91,2.02
USA,1979,1,interm,4,11,5693.71,0,0,1.02,1.02,0,1.15,2.24,8.52,43.43,91.29,236.41,587.83,822.79,967.62,980.67,819.67,567.28,334.47,228.28,167.54,60.74,51.28,9.46,8.4,1.06
USA,1979,1,interm,4,12,8799.05,1.02,0,0,1.02,2.06,5.34,19.83,53.74,62.7,116.58,258.54,512.1,839.82,1105.3,1368.39,1457.42,1260.74,928.33,806.1,560.55,245.55,209.25,36.3,35.13,1.17
USA,1979,1,interm,4,13,21021.73,0.09,0,0,3.08,7.19,17,63.68,93.56,137.29,266.35,459.98,1034.9,1762.96,2495.67,3296.62,3747.16,3202.12,2465.29,1968.81,1401.51,567.3,481.52,85.78,80.93,4.85
USA,1979,1,interm,4,14,5022.42,0.99,0,0,0,0,8.47,4.48,17.99,51.9,61.84,118.85,243.65,453.52,608.04,818.3,813.61,716.38,580.28,524.12,349.65,174.46,132.67,41.79,37.66,4.13
USA,1979,1,interm,4,15,3287.32,4.08,9.63,5.63,7.08,12.19,19.25,23.44,20.36,29.46,45.93,96.98,210.28,343.08,478.36,614.51,547.89,416.28,240.37,162.5,116.08,46.43,37.52,8.91,8.87,0.03
USA,1979,1,interm,4,16,11212.67,1.03,0,0,0,2.05,5.2,9.3,27.67,75.65,164.76,333.64,723.18,1112.07,1643.22,1925.54,1909.86,1576.96,999.69,702.83,510.53,192.3,160.02,32.28,30.13,2.15
USA,1979,1,interm,4,17,3236.11,0.05,0,0.51,0.17,0.17,1.24,5.23,11.32,18.92,44.8,67.83,156.17,262.28,420.6,502.56,515.78,506.7,401.64,320.13,227.4,92.73,76.44,16.3,15.16,1.13
USA,1979,1,interm,4,18,2925.56,0,0,0,0,0,1,0,3,13.96,41.34,116.36,265.72,353.33,507.66,548.82,452.66,297.56,199.64,124.5,93.38,31.12,26.92,4.2,4.15,0.05
